brain	heart	kidney	liver	testis
ENSMFAG00000000351	4.021467	0	1.256345396	0.96687322	0.908932
ENSMFAG00000000352	4.3717745	4.0182565	7.4893172	9.0288646	6.373332
ENSMFAG00000000353	1.0030222	2.1952375	3.6766758	4.5817602	1.73602
ENSMFAG00000000354	4.5350705	3.19966	3.6270034	2.1379316	3.504264
ENSMFAG00000000355	0.065042645	0.19079321	0.259906942	0.022092076	2.294204
ENSMFAG00000000356	1.8207335	5.8123205	4.487155	4.6584522	4.147168
ENSMFAG00000000357	1.3735807	3.7523555	3.5047746	1.75777434	3.015226
ENSMFAG00000000358	0.37616235	0.10729807	1.26505214	0.330439684	3.642715
ENSMFAG00000000359	0	0	0	0	0
ENSMFAG00000000360	1.2350215	1.6071335	1.28798166	0.846874	3.304366
ENSMFAG00000000361	0.5524396	0	0	0	0.2636907
ENSMFAG00000000362	0.1516642	0.187476165	0.1635556	0	0.3954193
ENSMFAG00000000363	0	0	0	0.70715672	0
ENSMFAG00000000364	3.7120545	4.708465	4.7545668	3.0798404	4.089984
ENSMFAG00000000365	2.134967	4.7897125	2.8449858	0.551362288	4.800507
ENSMFAG00000000366	8.5816785	9.7078585	10.3878514	9.8284996	9.566922
ENSMFAG00000000367	3.964889	0.0420349	1.27762302	0.19482632	1.282268
ENSMFAG00000000368	0.1828121	0.3815148	0.33732418	0.34754428	0.2856922
ENSMFAG00000000369	0	0	0.05982722	0	0.7573092
ENSMFAG00000000370	0.14075715	0.23054115	2.1088962	0.12907694	4.495727
ENSMFAG00000000371	4.4083354	0	0	0	0.8548072
ENSMFAG00000000372	2.8805335	4.297552	4.0348218	3.7012188	3.942739
ENSMFAG00000000373	3.0035145	3.314321	4.3851184	2.5970104	6.640005
ENSMFAG00000000374	4.549163	3.937491	5.0171654	3.4157544	4.705768
ENSMFAG00000000375	2.4361185	1.983517	2.10333806	1.16178776	1.191601
ENSMFAG00000000376	0.2951884	1.0068027	0.632471732	0.14488069	5.070308
ENSMFAG00000000377	5.127709	4.1576015	4.1102402	4.0648266	5.182466
ENSMFAG00000000378	0.13702229	1.931346	0.28101834	0.087110872	4.621771
ENSMFAG00000000379	5.9786895	6.288209	5.914235	4.8895976	7.262679
ENSMFAG00000000380	2.3135165	3.8012285	3.972518	3.3173858	2.706234
